Function,Service,Date Grant Awarded,Time Period for Grant,Grant Beneficiary,Beneficiary's registration Number,Purpose of Grant,Amount,Revenue / Capital
Place,SfC,21/04/2015,31/03/2016,Ivybridge & District CTA,1123577,Ring & Ride grant,15000,Revenue
Place,SfC,18/08/2015,31/03/2016,Newton Abbot Community Transport Association,1124719,Shopmobility grant,2262,Revenue
Place,SfC,29/05/2015,31/03/2016,Newton Abbot Community Transport Association,1124719,Ring & Ride grant,17291,Revenue
Place,SfC,19/05/2015,31/03/2016,Okehampton & District Community Transport,1024617,Ring & Ride grant,15000,Revenue
Place,SfC,29/05/2015,31/03/2016,Tavistock & District Local Transport,1079282,Ring & Ride grant,15842,Revenue
Place,SfC,8/7/2015,31/03/2016,Tavistock Area Support Services,1129175,SPOC Grant,22790,Revenue
Place,SfC,18/08/2015,31/03/2016,Tavistock Area Support Services,1129175,Shopmobility grant,1750,Revenue
Place,SfC,18/08/2015,31/03/2016,Teignmouth Shopmobility,1072990,Shopmobility grant,1063,Revenue
Place,SfC,18/08/2015,31/03/2016,Tiverton & District Community Transport Association,1099477,Shopmobility grant,5150,Revenue
Place,SfC,26/06/2015,31/03/2016,Tiverton & District Community Transport Association,1099477,Grant to CT awards Winner Fund,500,Revenue
Place,SfC,5/5/2015,31/03/2016,Tiverton & District Community Transport Association,1099477,Ring & Ride grant,30000,Revenue
Place,SfC,26/11/2015,31/03/2016,Totnes & Dartmouth Ring & Ride,1041259,Ring & Ride grant,13500.83,Revenue
Place,SfC,25/09/2015,31/03/2016,Trip Community Transport Association,1082544,Grant towards the County Car Forum,3316.4,Revenue
Place,SfC,18/08/2015,31/03/2016,Trip Community Transport Association,1082544,Shopmobility grant,350,Revenue
Place,SfC,29/05/2015,31/03/2016,Trip Community Transport Association,1082544,Ring & Ride grant,15000,Revenue
Place,SfC,1/10/2015,31/03/2016,West Devon Community & Voluntary Services,1119730,Grant towards the County Car Forum,5299.54,Revenue
Place,SfC,6/8/2015,3/1/2016,100 CLUB COMMUNITY GROUP,none,for drop in group for Children's Group,710,Revenue
Place,SfC,27/10/2015,1/1/2016,1ST MARLDON SCOUT GROUP,292743,for internal renovation of Scout HQ,750,Revenue
Place,SfC,28/07/2015,3/1/2016,1ST NEWTON ABBOT KINGSTEIGNTON,269839,to purchase a canvas mess tent,1500,Revenue
Place,SfC,16/10/2015,11/1/2015,1ST NEWTON ABBOT KINGSTEIGNTON,269839,for replacement front door,1000,Revenue
Place,SfC,28/05/2015,31.03.2016,1ST TOPSHAM SEA SCOUTS,1026550,for new build project,1000,Revenue
Place,SfC,13/03/2015,31/03/2015,2ND NORTHAM GUIDES,none,Waterproof coats and new flag for the Unit,343.95,Revenue
Place,SfC,20/02/2015,31/03/2015,722 CHIVENOR ATC WELFARE A/C,none,Flight simulator refurbishment,500,Revenue
Place,SfC,7/10/2015,1 Dec-18 Dec 2015,ABBEY GATEWAY CLUB,1042553,"Venue hire, catering and publicity for Christmas event",200,Revenue
Place,SfC,30/09/2015,3/16/2016,ABBPAST,none,Production of the Abbotskerswell Village Series of books,400,Revenue
Place,SfC,11/6/2015,7/1/2015,ABBTALK ASSOCIATION,none,for free community newsletter,1000,Revenue
Place,SfC,17/02/2015,31/03/2015,ACTION FOR CHILDREN,1097940,Room move in building,1000,Revenue
Place,SfC,9/12/2015,1/1/2016,ACTION FOR CHILDREN,1097940,for Christmas Fair,500,Revenue
Place,SfC,12/6/2015,01/04/15 - 30/09/15,AGE CONCERN OKEHAMPTON/TORRIDGE,1011780,IT training and equipment,850,Revenue
Place,SfC,20/01/2015,31/03/2015,AGE CONCERN TEIGNMOUTH & SHALDON,800996,Setting up of Alice Coffee Bar,2000,Revenue
Place,SfC,7/10/2015,01/12/2015-01/12/2016,AGE CONCERN TIVERTON & DISTRICT,1070792,Dementia Accessible Tiverton Project,500,Revenue
Place,SfC,26/10/2015,1/1/2016,AGE UK EXETER,1010973,for Café furniture upgrade,2000,Revenue
Place,SfC,16/10/2015,3/1/2016,AGE UK EXETER,1010973,for Heavitree Pop in Group,1000,Revenue
Place,SfC,16/10/2015,3/1/2016,AGE UK EXETER,1010973,"for high back chairs, tables and new extractor fan",1285.6,Revenue
Place,SfC,30/09/2015,10/1/2015,ALPHINGTON FOOTBALL CLUB,none,for new ground equipment,1000,Revenue
Place,SfC,9/3/2015,31/03/2015,ALPHINGTON YOUTH F C,none,for Alphington Rockets U15 football tour,500,Revenue
Place,SfC,2/3/2015,31/03/2015,ANCIENT BOROUGH OF COLYFORD THE,none,for purchase of mulching grass mower,750,Revenue
Place,SfC,8/10/2015,3/31/2016,APPLEDORE AFC,none,Re-clad part of clubhouse roof,2000,Revenue
Place,SfC,8/10/2015,3/31/2016,APPLEDORE BAND,none,Purchase new music stands,820,Revenue
Place,SfC,8/1/2015,31/03/2015,APPLEDORE COMMUNITY HALL KIDZ CL,none,Bid writer for Lottery application,2000,Revenue
Place,SfC,26/02/2015,31/03/2015,APPLEDORE PILOT GIG CLUB,none,Equipment to support 2015 Supervets Championships,1000,Revenue
Place,SfC,17/07/2015,9/1/2015,ASHCOMBE VILLAGE CLUB,none,for car park refurbishment,1500,Revenue
Place,SfC,29/07/2015,3/1/2016,ASSIST TEIGNBRIDGE,1154936,for new recruit training,1000,Revenue
Place,SfC,11/2/2015,31/03/2015,AVENUE CHURCH THE,1137080,Purchase of sensory equipment,600,Revenue
Place,SfC,1/10/2015,3/1/2016,AXE VALE NETBALL CLUB,none,for hire of sports club,1085,Revenue
Place,SfC,2/2/2015,31/03/2015,AXMINSTER ARTS,none,Music in the garden,500,Revenue
Place,SfC,20/10/2015,11/1/2016,AXMINSTER TOWN A F C,none,for level 1 coaching,700,Revenue
Place,SfC,6/2/2015,31/03/2015,B I D BARNSTAPLE,none,New Year's Eve firework display,500,Revenue
Place,SfC,10/3/2015,31/03/2015,BAMPTON BUSINESS GROUP,none,Printing and design of Welcome to Bampton Pack,400,Revenue
Place,SfC,17/03/2015,31/03/2015,BAMPTON LIBRARY & RES CNTR SUPP,none,Relocation and development,1000,Revenue
Place,SfC,15/05/2015,31/03/2016,BAMPTON LIBRARY & RES CNTR SUPP,none,Relocation and development,2000,Revenue
Place,SfC,17/03/2015,31/03/2015,BAMPTON SCOUT GROUP,none,Minibus project,500,Revenue
Place,SfC,12/11/2015,31/03/2016,BARNSTAPLE DEMENTIA ACTION ALLNC,none,DEVON DEMENTIA PA,250,Revenue
Place,SfC,28/07/2015,8/1/2015,BARNSTAPLE ELEPHANT DAY,none,for a play performed at Plough Arts Centre,400,Revenue
Place,SfC,7/7/2015,8/1/2015,BARNSTAPLE FOOTBALL CLUB,none,Football kit for disabled team,500,Revenue
